Well_ID,X(ft),Y(ft),Completion zone, MD (ft),Poro(v/v),Permeability (mD),WOPR (bpd),Np (bls),AI
Well_36,111749.77999999998,91050.01,1.0,4590.7571880000005,0.13574718149547357,9.1856772802083,376.967843,390879.7803,6591.681278112394
Well_37,134902.25,82632.62,1.0,4873.768495,0.14137511753390472,7.902246798170725,377.6215962,977024.1713,6548.179020057673
Well_38,116803.31,91177.75,1.0,4633.727511,0.14629273565268172,16.77412969603886,932.0029251,1475628.132,6647.429658958754
Well_39,111890.88,91708.68,0.0,4470.558722,0.11060082771272221,13.42479029100749,13.29023317,6073.684352,6469.37810675735
Well_4,109951.43,89343.45,1.0,4579.069384,0.14060666926872717,7.591663634183863,257.113535,258973.075,6611.813169321757
Well_40,126601.3,90679.21,0.0,4768.470967,0.10257526457530429,0.0,49.51812375,3070.123673,6541.952537932046
Well_41,114333.01,91616.66,1.0,4666.308895,0.1347213091973809,9.812579622538973,1056.826177,963794.2495,6623.273759197465
Well_42,136532.27,83571.51,1.0,4810.877539,0.16403193310424988,12.738063799778223,1146.619302,1885817.758,6620.383663197488
Well_43,115684.27,89895.78,1.0,4661.095011,0.18719414624860864,27.178718570158914,2175.493437,7089037.109,6677.045989447589
Well_44,118629.9,88703.87,1.0,4578.335868,0.2219563531103332,89.12639299734285,444.7192127,731289.33,6636.265852727136
Well_45,129176.3,93171.14,0.0,4707.038233,0.07573137067079996,0.746445277458848,0.142503065,221.3019908,6390.293203944915
Well_46,139046.81,84476.47,1.0,4708.28705,0.20435107262814994,57.88985249083574,1249.728244,838445.7098,6649.857918412708
Well_47,137407.15,84099.13,1.0,4767.704218,0.18267849796854993,39.69413123224521,1215.319622,1111940.972,6642.461267335627
Well_48,124094.8,90648.76,1.0,4768.066572,0.19229399679452164,51.663030028109084,464.8824403,891174.6411,6653.786210118891
Well_49,123188.65,88556.29,1.0,4723.025829,0.1575949270859999,19.898725977283924,351.2819158,577674.0751,6627.45460947177
Well_5,123950.95,92227.31,1.0,4796.182001,0.11789586655504988,7.150472885215642,13.72362181,32172.80676,6582.968018991749
Well_6,111035.32,88692.32,1.0,4589.207676999999,0.14537700158031808,6.015431973044921,1033.318772,945414.2314,6647.156890674162
Well_7,112439.69,85560.85,1.0,4549.285528,0.10271623048449996,4.0068947504654195,5.925702694,2160.216465,6486.432394523543
Well_8,127369.74,91739.99,0.0,4730.919132,0.08863291939185708,1.6316999576773785,13.09547433,19931.58628,6500.1586499284695
Well_9,115943.69,86730.44,1.0,4684.875411,0.1312669339982221,0.0,6.434229017,8030.777266,6510.109097547526
